Block,Plot,Position,Plant,Chemotype,highest_shoot_cm,number_shoots,no_shoots_with_flowerbuds,no_shoots_with_flowerbuds_Rsa,no_leaves,Date,Person
6,5,1,07_152_B,Myrox,69.8,4,0,0,118,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,5,2,16_050_B,Aacet,83.4,2,21,2,54,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,5,3,29_160_B,ABThu,76,4,0,0,69,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,5,4,09_077_B,Keto,73.6,3,0,1,76,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,5,5,08_050_B,BThu,80.4,2,0,0,36,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,6,1,06_040_A,Keto,70.2,4,0,0,54,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,6,2,26_004_A,Keto,46.4,2,0,0,31,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,6,3,08_040_A,Keto,65.6,1,0,1,73,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,6,4,09_077_A,Keto,72.8,4,4,3,93,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,6,5,29_044_A,Keto,59,3,0,0,42,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,7,1,06_040_B,Keto,70.6,3,0,0,46,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
